               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032327,           0.0058096,            0.008838,             0.98088,                   1,               0.995,             0.72687,             0.02329,           0.0037366,           0.0013999,           0.0099744,           0.0099744,           0.0099744
                  36,            0.032133,           0.0058955,            0.008049,              0.9847,                   1,               0.995,             0.68318,            0.024428,           0.0037529,           0.0012964,           0.0099728,           0.0099728,           0.0099728
                  37,             0.03178,           0.0056607,           0.0077835,             0.94798,             0.99959,               0.995,             0.71969,            0.022767,           0.0036112,           0.0019261,           0.0099713,           0.0099713,           0.0099713
                  38,            0.031716,           0.0055294,           0.0083955,             0.97484,                   1,               0.995,             0.70019,            0.023906,           0.0037346,            0.001428,           0.0099696,           0.0099696,           0.0099696
                  39,            0.031574,           0.0056683,           0.0084156,             0.98744,                   1,               0.995,             0.71534,            0.022324,           0.0036399,           0.0012023,            0.009968,            0.009968,            0.009968
                  40,            0.031336,           0.0056016,           0.0087013,              0.9716,                   1,               0.995,              0.7385,            0.022658,           0.0039522,            0.001324,           0.0099663,           0.0099663,           0.0099663
                  41,            0.031162,           0.0055246,           0.0078533,             0.98846,                   1,               0.995,             0.71265,            0.023119,           0.0037747,           0.0011749,           0.0099645,           0.0099645,           0.0099645
                  42,             0.03106,           0.0055616,           0.0075462,             0.97713,             0.99973,               0.995,             0.70896,            0.024223,            0.003739,           0.0012101,           0.0099627,           0.0099627,           0.0099627
                  43,            0.030987,            0.005573,           0.0079419,             0.97393,                   1,               0.995,             0.75834,            0.020942,           0.0035849,           0.0011991,           0.0099609,           0.0099609,           0.0099609
                  44,            0.031082,           0.0055477,           0.0078621,             0.98747,             0.99962,               0.995,             0.76464,            0.021448,           0.0037377,           0.0012381,            0.009959,            0.009959,            0.009959
                  45,            0.030825,           0.0055868,           0.0076114,             0.96733,                   1,               0.995,             0.74041,            0.021373,           0.0034755,           0.0011002,           0.0099571,           0.0099571,           0.0099571
                  46,            0.030915,           0.0056448,           0.0075409,             0.98146,                   1,               0.995,             0.74882,            0.022221,           0.0035745,           0.0013303,           0.0099551,           0.0099551,           0.0099551
                  47,            0.030631,            0.005452,           0.0079569,             0.97911,                   1,               0.995,             0.69566,            0.025643,           0.0036227,           0.0012357,           0.0099531,           0.0099531,           0.0099531
                  48,            0.030341,           0.0053804,            0.007381,             0.95805,             0.98877,               0.995,             0.74587,            0.021599,           0.0034936,           0.0012471,            0.009951,            0.009951,            0.009951
                  49,            0.030112,           0.0053225,           0.0071616,             0.97711,             0.99997,               0.995,             0.70965,            0.022629,            0.003656,           0.0012373,           0.0099489,           0.0099489,           0.0099489
                  50,            0.030893,           0.0053132,           0.0072448,             0.98688,                   1,               0.995,             0.75572,            0.021858,           0.0035317,           0.0011723,           0.0099468,           0.0099468,           0.0099468
                  51,            0.030703,           0.0055785,           0.0076037,             0.98805,             0.99986,               0.995,             0.78463,            0.020597,           0.0036174,            0.001309,           0.0099446,           0.0099446,           0.0099446
                  52,            0.029822,           0.0054515,           0.0070807,             0.97666,             0.99982,               0.995,             0.74831,            0.021891,           0.0034587,           0.0012633,           0.0099424,           0.0099424,           0.0099424
                  53,                0.03,           0.0053142,            0.006996,             0.98842,             0.99997,               0.995,             0.73144,            0.021599,            0.003421,           0.0011868,           0.0099401,           0.0099401,           0.0099401
                  54,            0.029467,           0.0053772,           0.0070467,             0.98186,             0.99974,               0.995,              0.7939,             0.02012,           0.0034176,           0.0011772,           0.0099378,           0.0099378,           0.0099378
                  55,            0.029652,           0.0054409,           0.0069898,             0.99053,             0.98547,               0.995,             0.74912,            0.021637,           0.0035139,           0.0012769,           0.0099354,           0.0099354,           0.0099354
                  56,            0.029411,           0.0054304,           0.0066663,             0.97502,             0.99991,               0.995,             0.75399,            0.021108,           0.0034994,           0.0012985,            0.009933,            0.009933,            0.009933
                  57,            0.029948,           0.0052966,           0.0069655,             0.98172,                   1,               0.995,             0.76109,            0.021049,           0.0034882,           0.0011579,           0.0099305,           0.0099305,           0.0099305
                  58,            0.029929,           0.0053799,           0.0073719,             0.98606,                   1,               0.995,             0.75749,            0.021262,           0.0036292,           0.0011901,            0.009928,            0.009928,            0.009928
                  59,            0.029443,            0.005435,           0.0067488,              0.9892,                   1,               0.995,             0.71145,             0.02218,           0.0035501,           0.0012028,           0.0099255,           0.0099255,           0.0099255
                  60,            0.029375,           0.0051759,           0.0068878,             0.98322,             0.99962,               0.995,             0.75183,            0.020625,           0.0034936,           0.0010667,           0.0099229,           0.0099229,           0.0099229
                  61,             0.03008,           0.0053329,           0.0071762,              0.9871,                   1,               0.995,             0.77009,            0.020764,           0.0035487,           0.0011002,           0.0099203,           0.0099203,           0.0099203
                  62,            0.029298,           0.0052514,           0.0068516,             0.98334,             0.99967,               0.995,             0.74133,            0.020822,           0.0033283,             0.00118,           0.0099176,           0.0099176,           0.0099176
                  63,            0.029331,           0.0052111,           0.0064448,             0.99311,             0.99983,               0.995,             0.75636,            0.021445,           0.0034593,           0.0010736,           0.0099149,           0.0099149,           0.0099149
                  64,            0.029562,           0.0054224,           0.0067446,             0.98511,              0.9998,               0.995,             0.75311,            0.021101,            0.003431,           0.0010872,           0.0099121,           0.0099121,           0.0099121
                  65,            0.029587,           0.0052686,           0.0069454,             0.98944,                   1,               0.995,             0.74088,            0.022248,           0.0034581,           0.0010918,           0.0099093,           0.0099093,           0.0099093
                  66,            0.028652,           0.0052104,           0.0065108,             0.97525,                   1,               0.995,             0.72861,            0.020666,            0.003315,            0.001008,           0.0099065,           0.0099065,           0.0099065
                  67,            0.028954,           0.0052544,           0.0065972,             0.97781,                   1,               0.995,             0.74987,            0.020172,           0.0033949,           0.0010623,           0.0099036,           0.0099036,           0.0099036
                  68,            0.028854,           0.0053017,           0.0068376,             0.99405,                   1,               0.995,             0.72195,            0.021521,            0.003455,           0.0010057,           0.0099007,           0.0099007,           0.0099007
                  69,            0.029369,           0.0052489,           0.0062677,             0.98463,             0.99963,               0.995,             0.75326,             0.02057,           0.0033958,           0.0010722,           0.0098977,           0.0098977,           0.0098977
                  70,            0.028922,           0.0051142,           0.0067436,             0.98782,                   1,               0.995,             0.77684,            0.019554,           0.0033978,           0.0011174,           0.0098947,           0.0098947,           0.0098947
                  71,            0.028922,            0.005028,           0.0064609,             0.99184,                   1,               0.995,             0.78488,            0.020081,           0.0033892,           0.0010097,           0.0098916,           0.0098916,           0.0098916
                  72,            0.028622,           0.0050554,           0.0062192,             0.99344,                   1,               0.995,             0.76421,            0.020543,           0.0033859,           0.0011047,           0.0098885,           0.0098885,           0.0098885
                  73,            0.028738,           0.0051254,            0.006535,             0.98627,                   1,               0.995,             0.73608,            0.022693,           0.0034796,          0.00092951,           0.0098854,           0.0098854,           0.0098854
                  74,            0.028833,            0.005267,           0.0064034,             0.97279,                   1,               0.995,             0.73253,            0.021811,           0.0033766,           0.0010466,           0.0098822,           0.0098822,           0.0098822
                  75,            0.028687,           0.0053038,           0.0063117,             0.99395,                   1,               0.995,             0.78022,            0.019625,           0.0033098,           0.0010118,           0.0098789,           0.0098789,           0.0098789
